id,Country,City,Temp,Date
130,Usa,Detroit,18°C,Sun 06:51
131,Uruguay,Montevideo,17°C,Sun 07:51
132,Canada,Winnipeg,10°C,Sun 05:51
133,Bangladesh,Dhaka,36°C,Sun 16:51
134,Canada,Montreal,13°C,Sun 06:51
135,Myanmar,Yangon,27°C,Sun 17:21
136,Qatar,Doha,38°C,Sun 13:51
137,Russia,Moscow,13°C,Sun 13:51
138,Croatia,Zagreb,20°C,Sun 12:51
139,United-Arab-Emirates,Dubai,40°C,Sun 14:51
140,India,Mumbai,32°C,Sun 16:21
141,Switzerland,Zurich,15°C,Sun 12:51
